,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
225,4.0,3.0,23.0,0.0,0.35037073950063735
226,4.0,3.0,58.0,0.29411764705882354,0.15144444067481114
227,4.0,3.0,13.0,0.2988505747126437,0.03270550184901129
228,4.0,3.0,80.0,0.14814814814814814,0.07298545634996374
229,4.0,3.0,98.0,0.08737864077669903,0.051890899126545716
230,4.0,3.0,62.0,0.0,0.276183341192984
231,4.0,3.0,84.0,0.13855734302023873,0.08365746470545295
232,4.0,3.0,55.0,0.26666666666666666,0.18023536945555294
233,4.0,3.0,75.0,0.22727272727272727,0.5130234871304163
234,4.0,3.0,57.0,0.25675675675675674,0.23503004072635383
235,4.0,3.0,16.0,0.10071301247771836,0.3046188739975799
236,4.0,3.0,53.0,0.0,0.48035586726410806
237,4.0,3.0,77.0,0.0,0.48035586726410806
238,4.0,3.0,39.0,0.0,0.39856362078162355
239,4.0,3.0,99.0,0.23809523809523808,0.05115089514066496
240,4.0,3.0,17.0,0.20087390761548063,0.250714257483328
241,4.0,3.0,28.0,0.3132530120481928,0.2545832541331654
242,4.0,3.0,31.0,0.23529411764705882,0.33736277223866595
243,4.0,3.0,88.0,0.1981981981981982,0.3848241599028216
244,4.0,3.0,78.0,0.4955506117908787,0.5724285775570441
245,4.0,3.0,38.0,0.3107653490328007,0.3452728580100678
246,4.0,3.0,15.0,0.673469387755102,0.6176451923031415
247,4.0,3.0,34.0,0.2564102564102564,0.5367635652805327
248,4.0,3.0,86.0,0.2564102564102564,0.5367635652805327
249,4.0,3.0,67.0,0.14606741573033707,0.4172364284783292
250,4.0,3.0,87.0,0.2182374541003672,0.19936349624478383
251,4.0,3.0,50.0,0.22115749525616699,0.24990027599988995
252,4.0,3.0,37.0,0.16279069767441862,0.2946904750936139
253,4.0,3.0,11.0,0.13513513513513514,0.08245891134973206
254,4.0,3.0,68.0,0.16279069767441862,0.24951563705784596
255,4.0,3.0,65.0,0.8620689655172413,0.8240115718418515
256,4.0,3.0,47.0,0.2857142857142857,0.033040762933580894
257,4.0,3.0,97.0,0.5995738086013173,0.8050526644091307
258,4.0,3.0,3.0,0.8620689655172413,0.9022606382978724
259,4.0,3.0,64.0,0.545617816091954,0.461468836521581
260,4.0,3.0,40.0,0.3617021276595745,0.02162629757785467
261,4.0,3.0,82.0,0.3037974683544304,0.030146018383096114
262,4.0,3.0,83.0,0.1322314049586777,0.14937368183286048
263,4.0,3.0,73.0,0.676132521974307,0.547198026812151
264,4.0,3.0,52.0,0.1553398058252427,0.06496801807357244
265,4.0,3.0,36.0,0.29213483146067415,0.11762492262104468
266,4.0,3.0,4.0,0.08235294117647059,0.0353504035886724
267,4.0,3.0,43.0,0.23529411764705882,0.09521669704869985
268,4.0,3.0,96.0,0.08403361344537816,0.027570841616894097
269,4.0,3.0,51.0,0.47451274362818585,0.5203550727529355
270,4.0,3.0,10.0,0.20224719101123595,0.013460809271255876
271,4.0,3.0,32.0,0.12171052631578948,0.07888978513607786
272,4.0,3.0,12.0,0.20930232558139536,0.096428629964106
273,4.0,3.0,35.0,0.0,0.0008857395925597874
274,4.0,3.0,54.0,0.12244897959183673,0.04126454809644252
275,4.0,3.0,8.0,0.43103448275862066,0.5077427562667087
276,4.0,3.0,19.0,0.8620689655172413,0.6941365961207586
277,4.0,3.0,18.0,0.45830721003134794,0.4946075583995584
278,4.0,3.0,69.0,0.44338016177096634,0.43270130887692226
279,4.0,3.0,94.0,0.44252873563218387,0.4189952832147742
280,5.0,4.0,59.0,0.1,0.07001150086256469
281,5.0,4.0,23.0,0.03333333333333333,0.02886749005652083
282,5.0,4.0,58.0,0.39344262295081966,0.2122135601228443
283,5.0,4.0,13.0,0.43137254901960786,0.166005291005291
284,5.0,4.0,80.0,0.35555555555555557,0.09956565319077848
285,5.0,4.0,98.0,0.5576036866359446,0.2395184723951847
286,5.0,4.0,62.0,0.03333333333333333,0.04691410932443931
287,5.0,4.0,84.0,0.3902439024390244,0.180765639589169
288,5.0,4.0,55.0,0.14814814814814814,0.08225114416475973
289,5.0,4.0,75.0,0.425531914893617,0.05962403033191172
290,5.0,4.0,57.0,0.08928571428571429,0.028824833702882482
291,5.0,4.0,16.0,0.11475409836065574,0.04490114469385433
292,5.0,4.0,53.0,0.04081632653061224,0.03841662056672199
293,5.0,4.0,77.0,0.04081632653061224,0.03841662056672199
294,5.0,4.0,39.0,0.04081632653061224,0.06468110363267564
295,5.0,4.0,99.0,0.5833333333333334,0.32663622526636227
296,5.0,4.0,17.0,0.2916666666666667,0.15110017875996068
297,5.0,4.0,28.0,0.24615384615384617,0.06912347342760367
298,5.0,4.0,31.0,0.12121212121212122,0.17640233039626366
299,5.0,4.0,88.0,0.16,0.05734132917582828
300,5.0,4.0,78.0,0.15384615384615385,0.036798833335111907
301,5.0,4.0,38.0,0.19607843137254902,0.083962821013933
302,5.0,4.0,15.0,0.2807017543859649,0.042543652908298965
303,5.0,4.0,34.0,0.2702702702702703,0.028350110097514942
304,5.0,4.0,86.0,0.2702702702702703,0.028350110097514942
305,5.0,4.0,67.0,0.14285714285714285,0.029576384968629396
306,5.0,4.0,87.0,0.13333333333333333,0.04971118876132069
307,5.0,4.0,50.0,0.06950022311468095,0.0462536416593056
308,5.0,4.0,37.0,0.26666666666666666,0.09942237752264138
309,5.0,4.0,11.0,0.10526315789473684,0.13199426111908177
310,5.0,4.0,68.0,0.26666666666666666,0.18748728225421277
311,5.0,4.0,65.0,0.125,0.022305472040976593
312,5.0,4.0,47.0,0.2916666666666667,0.12744618395303325
313,5.0,4.0,97.0,0.16666666666666666,0.013815739440662105
314,5.0,4.0,3.0,0.125,0.01970516272340274
315,5.0,4.0,64.0,0.16363636363636364,0.11503192580483038
316,5.0,4.0,40.0,0.06896551724137931,0.03155577299412916
317,5.0,4.0,82.0,0.09302325581395349,0.07826278659611993
318,5.0,4.0,83.0,0.11764705882352941,0.3247748145531615
319,5.0,4.0,73.0,0.16393442622950818,0.28382888207301393
320,5.0,4.0,52.0,0.1791044776119403,0.5426829268292683
321,5.0,4.0,36.0,0.2641509433962264,0.34523052464228937
322,5.0,4.0,4.0,1.0,1.0
323,5.0,4.0,43.0,0.30303030303030304,0.362316399407088
324,5.0,4.0,96.0,0.20281124497991967,0.2650331053945512
325,5.0,4.0,51.0,0.0945945945945946,0.3386863382098177
326,5.0,4.0,10.0,0.23773584905660378,0.266504329004329
327,5.0,4.0,32.0,0.08333333333333333,0.07533064979873491
328,5.0,4.0,12.0,0.4,0.17158564814814814
329,5.0,4.0,35.0,0.3333333333333333,0.5
330,5.0,4.0,54.0,0.12903225806451613,0.17701674277016743
331,5.0,4.0,8.0,0.09698275862068965,0.022767587510673416
332,5.0,4.0,19.0,0.125,0.034490488618466646
333,5.0,4.0,18.0,0.07246376811594203,0.0635167371621502
334,5.0,4.0,69.0,0.0625,0.041175335422135584
335,5.0,4.0,94.0,0.0625,0.026410450278592956
336,6.0,8.0,59.0,0.10344827586206896,0.10299913838933802
337,6.0,8.0,23.0,0.0,0.5269868345769555
338,6.0,8.0,58.0,0.08247422680412371,0.13841611063833287
339,6.0,8.0,13.0,0.2988505747126437,0.07298795510539283
340,6.0,8.0,80.0,0.14814814814814814,0.19467110897779785
341,6.0,8.0,98.0,0.04081632653061224,0.08206706876100917
342,6.0,8.0,62.0,0.0,0.39913755046325083
343,6.0,8.0,84.0,0.07591876208897486,0.10572000912612742
344,6.0,8.0,55.0,0.26666666666666666,0.16726947783000118
345,6.0,8.0,75.0,0.0963855421686747,0.41009229629934596
346,6.0,8.0,57.0,0.25675675675675674,0.29018812497568186
347,6.0,8.0,16.0,0.09090909090909091,0.4036159536439789
348,6.0,8.0,53.0,0.0,0.6509504785907714
349,6.0,8.0,77.0,0.0,0.6509504785907714
350,6.0,8.0,39.0,0.0,0.5115444172071579
351,6.0,8.0,99.0,0.23809523809523808,0.12294842041439294
352,6.0,8.0,17.0,0.14183006535947712,0.28808336747328805
353,6.0,8.0,28.0,0.3132530120481928,0.2829260516562092
354,6.0,8.0,31.0,0.23529411764705882,0.24163839143139182
355,6.0,8.0,88.0,0.1981981981981982,0.529669916581823
356,6.0,8.0,78.0,0.43103448275862066,0.4667471295838681
357,6.0,8.0,38.0,0.12617554858934169,0.3117837684637901
358,6.0,8.0,15.0,0.08602150537634409,0.3854131852027361
359,6.0,8.0,34.0,0.0547945205479452,0.41372232789750857
360,6.0,8.0,86.0,0.0547945205479452,0.41372232789750857
361,6.0,8.0,67.0,0.1682896379525593,0.40884567240959657
362,6.0,8.0,87.0,0.1368421052631579,0.29832084639082646
363,6.0,8.0,50.0,0.3197446420428637,0.39146226897653086
364,6.0,8.0,37.0,0.0,0.4709607456830185
365,6.0,8.0,11.0,0.1951219512195122,0.15766653527788727
366,6.0,8.0,68.0,0.0,0.4572240042094826
367,6.0,8.0,65.0,0.8620689655172413,0.912262156448203
368,6.0,8.0,47.0,0.2857142857142857,0.05780576887057501
369,6.0,8.0,97.0,0.47025016903313044,0.5147963771179738
370,6.0,8.0,3.0,0.8620689655172413,0.6989931547932857
371,6.0,8.0,64.0,0.48275862068965514,0.4860380040385006
372,6.0,8.0,40.0,0.3617021276595745,0.03095148904289193
373,6.0,8.0,82.0,0.3037974683544304,0.04429976324895283
374,6.0,8.0,83.0,0.1322314049586777,0.16241862869083842
375,6.0,8.0,73.0,0.47790948275862066,0.48163816397843484
376,6.0,8.0,52.0,0.42857142857142855,0.17141273602935556
377,6.0,8.0,36.0,0.29213483146067415,0.126002442189234
378,6.0,8.0,4.0,0.10948275862068965,0.024445439859666705
379,6.0,8.0,43.0,0.23529411764705882,0.1267665335325737
380,6.0,8.0,96.0,0.23255813953488372,0.10283868409945218
381,6.0,8.0,51.0,0.44402149574563365,0.504605321111571
382,6.0,8.0,10.0,0.2407087294727744,0.026643228080995597
383,6.0,8.0,32.0,0.11732456140350878,0.1569423621522572
384,6.0,8.0,12.0,0.20930232558139536,0.11205264624956555
385,6.0,8.0,35.0,0.07407407407407407,0.003937007874015748
386,6.0,8.0,54.0,0.12244897959183673,0.05464258086098392
387,6.0,8.0,8.0,0.8310344827586207,0.815356270756983
388,6.0,8.0,19.0,0.8620689655172413,0.624614028423093
389,6.0,8.0,18.0,0.43103448275862066,0.49890918011255014
390,6.0,8.0,69.0,0.5240577385725742,0.5092954365244114
391,6.0,8.0,94.0,0.4514426460239268,0.46328903246234765
392,7.0,12.0,59.0,0.19767441860465115,0.18137254901960784
393,7.0,12.0,23.0,0.0,0.07988909393403776
394,7.0,12.0,58.0,0.29850746268656714,0.19001333290681283
395,7.0,12.0,13.0,0.5964912280701754,0.734375
396,7.0,12.0,80.0,0.27450980392156865,0.19003227902492192
397,7.0,12.0,98.0,0.1323529411764706,0.07583774250440917
398,7.0,12.0,62.0,0.0,0.08079582893030433
399,7.0,12.0,84.0,0.2309477756286267,0.11611108770845913
400,7.0,12.0,55.0,0.13333333333333333,0.11307096192167007
401,7.0,12.0,75.0,0.37735849056603776,0.25661981906900483
402,7.0,12.0,57.0,0.1016949152542373,0.09599850211309047
403,7.0,12.0,16.0,0.07462686567164178,0.13218392265704784
404,7.0,12.0,53.0,0.0,0.0724494091687716
405,7.0,12.0,77.0,0.0,0.0724494091687716
406,7.0,12.0,39.0,0.0,0.14793538221035477
407,7.0,12.0,99.0,0.7037037037037037,0.5432098765432098
408,7.0,12.0,17.0,0.4744933612858141,0.34127339705296694
409,7.0,12.0,28.0,0.36764705882352944,0.18864149284503268
410,7.0,12.0,31.0,0.2777777777777778,0.10135325193369094
411,7.0,12.0,88.0,0.1728395061728395,0.10432262084022614
412,7.0,12.0,78.0,0.15272808586762077,0.0934725036958714
413,7.0,12.0,38.0,0.29937747594793435,0.3465078285059003
414,7.0,12.0,15.0,0.25396825396825395,0.21130257920663392
