,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
43,0.0,52.0,43.0,0.17647058823529413,0.3570707070707071
44,0.0,52.0,96.0,0.45384615384615384,0.33966861598440545
45,0.0,52.0,51.0,0.2646176911544228,0.27493949413614316
46,0.0,52.0,10.0,0.6805555555555556,0.41208333333333336
47,0.0,52.0,32.0,0.08452380952380953,0.06142322097378277
48,0.0,52.0,12.0,0.1,0.1747737556561086
49,0.0,52.0,35.0,0.6,0.5517241379310345
50,0.0,52.0,54.0,0.14285714285714285,0.14907407407407408
51,0.0,52.0,8.0,0.3695652173913043,0.11616625816993464
52,0.0,52.0,19.0,0.391304347826087,0.16218778275782253
53,0.0,52.0,18.0,0.21350931677018634,0.0741781172625185
54,0.0,52.0,69.0,0.25815217391304346,0.16901499327763375
55,0.0,52.0,94.0,0.2456521739130435,0.08273629964806435
56,1.0,62.0,59.0,0.1111111111111111,0.09845544554455446
57,1.0,62.0,23.0,0.8372093023255814,0.44595233841258497
58,1.0,62.0,58.0,0.10714285714285714,0.07582466949043769
59,1.0,62.0,13.0,0.19047619047619047,0.1721449641803624
60,1.0,62.0,80.0,0.14285714285714285,0.21836026077097506
61,1.0,62.0,98.0,0.280202403542062,0.1926904598490048
62,1.0,62.0,62.0,1.0,0.7341920374707259
63,1.0,62.0,84.0,0.06666666666666667,0.07914915966386554
64,1.0,62.0,55.0,0.09523809523809523,0.09061004784688995
65,1.0,62.0,75.0,0.17391304347826086,0.2950546590317543
66,1.0,62.0,57.0,0.43037974683544306,0.6062271062271062
67,1.0,62.0,16.0,0.3240816326530612,0.26216265921423343
68,1.0,62.0,53.0,0.8,0.3354014718986172
69,1.0,62.0,77.0,0.8,0.3354014718986172
70,1.0,62.0,39.0,0.8,0.3377508506184668
71,1.0,62.0,99.0,0.2,0.1613628502248357
72,1.0,62.0,17.0,0.1285714285714286,0.31924563314056115
73,1.0,62.0,28.0,0.12,0.15409803611023123
74,1.0,62.0,31.0,0.14814814814814814,0.1410216718266254
75,1.0,62.0,88.0,0.4,0.3181214421252372
76,1.0,62.0,78.0,0.03571428571428571,0.16214789455665868
77,1.0,62.0,38.0,0.15202702702702703,0.20239959016393444
78,1.0,62.0,15.0,0.06896551724137931,0.23818177194588547
79,1.0,62.0,34.0,0.10526315789473684,0.24935330156569094
80,1.0,62.0,86.0,0.10526315789473684,0.24935330156569094
81,1.0,62.0,67.0,0.05725806451612903,0.23139659195624687
82,1.0,62.0,87.0,0.0,0.11643393522178633
83,1.0,62.0,50.0,0.02666666666666667,0.3269483503354471
84,1.0,62.0,37.0,0.0,0.2239392990150012
85,1.0,62.0,11.0,0.11764705882352941,0.1367888748419722
86,1.0,62.0,68.0,0.0,0.17725275612301045
87,1.0,62.0,65.0,0.07142857142857142,0.30571058120525396
88,1.0,62.0,47.0,0.2,0.1640926640926641
89,1.0,62.0,97.0,0.05,0.1866650048228184
90,1.0,62.0,3.0,0.07142857142857142,0.2881670358104108
91,1.0,62.0,64.0,0.09231805929919137,0.1732634538679331
92,1.0,62.0,40.0,0.07142857142857142,0.11810797897754419
93,1.0,62.0,82.0,0.05263157894736842,0.09672070744288871
94,1.0,62.0,83.0,0.0,0.17840136054421768
95,1.0,62.0,73.0,0.05970149253731343,0.19452195726929364
96,1.0,62.0,52.0,0.16393442622950818,0.15136054421768708
97,1.0,62.0,36.0,0.06060606060606061,0.13586307524666758
98,1.0,62.0,4.0,0.16233766233766234,0.07291666666666667
99,1.0,62.0,43.0,0.09090909090909091,0.15158536585365853
100,1.0,62.0,96.0,0.13714285714285715,0.10562678062678062
101,1.0,62.0,51.0,0.08015873015873015,0.19981456122332536
102,1.0,62.0,10.0,0.13043478260869565,0.09482872200263505
